Country,Year,Greenhouse gas source and sink categories,Production/Consumption quantity description,Production/Consumption quantity (kt),Implied emission factors CO2 (t/t),Implied emission factors CH4 (t/t),Implied emission factors N2O (t/t),Emissions CO2 (kt),Emissions CH4 (kt),Emissions N2O (kt),Recovery/Capture CO2 fossil (kt),Recovery/Capture CO2 biogenic (kt),Recovery/Capture CO2 CH4 (kt),Recovery/Capture CO2 N2O (kt)
BEL,1990,2.B.4.a. Caprolactam,Caprolactam production,117.386,NA,,0.010223,NA,,1.2,NA,NA,,NA
BEL,1991,2.B.4.a. Caprolactam,Caprolactam production,116.606,NA,,0.010291,NA,,1.2,NA,NA,,NA
BEL,1992,2.B.4.a. Caprolactam,Caprolactam production,114.869,NA,,0.010447,NA,,1.2,NA,NA,,NA
BEL,1993,2.B.4.a. Caprolactam,Caprolactam production,106.96,NA,,0.011219,NA,,1.2,NA,NA,,NA
BEL,1994,2.B.4.a. Caprolactam,Caprolactam production,126.106,NA,,0.009516,NA,,1.2,NA,NA,,NA
BEL,1995,2.B.4.a. Caprolactam,Caprolactam production,123.744,NA,,0.009697,NA,,1.2,NA,NA,,NA
BEL,1996,2.B.4.a. Caprolactam,Caprolactam production,127.904,NA,,0.009382,NA,,1.2,NA,NA,,NA
BEL,1997,2.B.4.a. Caprolactam,Caprolactam production,139.74,NA,,0.006519,NA,,0.911,NA,NA,,NA
BEL,1998,2.B.4.a. Caprolactam,Caprolactam production,130.476,NA,,0.006216,NA,,0.811,NA,NA,,NA
BEL,1999,2.B.4.a. Caprolactam,Caprolactam production,145.027,NA,,0.005102,NA,,0.74,NA,NA,,NA
BEL,2000,2.B.4.a. Caprolactam,Caprolactam production,138.265,NA,,0.008187,NA,,1.132,NA,NA,,NA
BEL,2001,2.B.4.a. Caprolactam,Caprolactam production,145.752,NA,,0.007924,NA,,1.155,NA,NA,,NA
BEL,2002,2.B.4.a. Caprolactam,Caprolactam production,160.956,NA,,0.005753,NA,,0.926,NA,NA,,NA
BEL,2003,2.B.4.a. Caprolactam,Caprolactam production,157.392,NA,,0.004403,NA,,0.693,NA,NA,,NA
BEL,2004,2.B.4.a. Caprolactam,Caprolactam production,168.648,NA,,0.005319,NA,,0.897,NA,NA,,NA
BEL,2005,2.B.4.a. Caprolactam,Caprolactam production,184.202,NA,,0.006017,NA,,1.108433,NA,NA,,NA
BEL,2006,2.B.4.a. Caprolactam,Caprolactam production,191.221,NA,,0.008163,NA,,1.561,NA,NA,,NA
BEL,2007,2.B.4.a. Caprolactam,Caprolactam production,189.483,NA,,0.009201,NA,,1.7435,NA,NA,,NA
BEL,2008,2.B.4.a. Caprolactam,Caprolactam production,194.031,NA,,0.008095,NA,,1.5707,NA,NA,,NA
BEL,2009,2.B.4.a. Caprolactam,Caprolactam production,175.915,NA,,0.009777,NA,,1.72,NA,NA,,NA
BEL,2010,2.B.4.a. Caprolactam,Caprolactam production,210.691,NA,,0.010869,NA,,2.29,NA,NA,,NA
BEL,2011,2.B.4.a. Caprolactam,Caprolactam production,201.178,NA,,0.012054,NA,,2.425,NA,NA,,NA
BEL,2012,2.B.4.a. Caprolactam,Caprolactam production,207.055,NA,,0.011755,NA,,2.434,NA,NA,,NA
BEL,2013,2.B.4.a. Caprolactam,Caprolactam production,217.448,NA,,0.010499,NA,,2.283,NA,NA,,NA
BEL,2014,2.B.4.a. Caprolactam,Caprolactam production,200.04,NA,,0.01135,NA,,2.2705,NA,NA,,NA
BEL,2015,2.B.4.a. Caprolactam,Caprolactam production,214.997,NA,,0.009133,NA,,1.9636,NA,NA,,NA
BEL,2016,2.B.4.a. Caprolactam,Caprolactam production,228.932,NA,,0.009623,NA,,2.203,NA,NA,,NA
BEL,2017,2.B.4.a. Caprolactam,Caprolactam production,214.282,NA,,0.008999,NA,,1.9283,NA,NA,,NA
BEL,2018,2.B.4.a. Caprolactam,Caprolactam production,228.39,NA,,0.007865,NA,,1.7964,NA,NA,,NA
BEL,2019,2.B.4.a. Caprolactam,Caprolactam production,230.198,NA,,0.007035,NA,,1.619506,NA,NA,,NA
BEL,2020,2.B.4.a. Caprolactam,Caprolactam production,183.426,NA,,0.006662,NA,,1.221898,NA,NA,,NA
BEL,2021,2.B.4.a. Caprolactam,Caprolactam production,222.721,NA,,0.004905,NA,,1.09235,NA,NA,,NA
BEL,2022,2.B.4.a. Caprolactam,Caprolactam production,206.288,NA,,0.004802,NA,,0.990602,NA,NA,,NA
BEL,2023,2.B.4.a. Caprolactam,Caprolactam production,131.639,NA,,0.004359,NA,,0.5738,NA,NA,,NA
